66TST,Red,Yamaha,SH50MJ,1998,Moped,2011-11-29,Central
66URP,White,Suzuki,GSX-R600,2002,Roadbike,2011-11-17,Waitemata
66ZQQ,Red,Harley Davidson,SOFTAIL,2008,Roadbike,2011-07-22,Waikato
67UNL,Blue,Yamaha,CY50,2001,Moped,2011-12-11,Bay of Plenty
67WJN,Blue,Honda,TODAY 50,2002,Moped,2011-10-08,Auckland City
67ZHN,Black,Yamaha,CV50AW,2008,Moped,2011-08-10,Tasman
67ZPC,Red,Factory Built,TGB 101S,2008,Moped,2011-12-17,Wellington
6819G,Red,Homebuilt,TRAILER,1997,Trailer,2011-11-03,Canterbury
6829L,Yellow,Briford,TRAILER,1998,Trailer,2011-08-09,Waitemata
6841J,Yellow,Trailer,BRIFORD,1998,Trailer,2011-11-09,Auckland City
68ZGR,Black,Suzuki,AN125,2008,Roadbike,2011-10-28,Wellington
690CV,Grey,Trailer,LOCAL,1963,Trailer,2011-11-05,Canterbury
69WNZ,Black,Factory Built,JOKAR,2005,Moped,2011-07-14,Wellington
69ZDK,Green,Kawasaki,EX,2008,Roadbike,2011-09-02,Eastern
69ZJZ,Yellow,Yamaha,XS400,1982,Roadbike,2011-10-01,Wellington
69ZKW,Blue,Honda,TODAY,2008,Moped,2011-06-27,Auckland City
69ZWF,Silver,Suzuki,SKYWAVE,2002,Roadbike,2011-11-25,Canterbury
6ENZ,Grey,Homebuilt,,1977,Trailer,2011-11-01,Bay of Plenty
7170F,Grey,Trailer,LOCAL,1997,Trailer,2011-12-16,Counties/Manukau
71SCC,White,Suzuki,VS700,1988,Roadbike,2011-06-22,Bay of Plenty
71WWF,Silver,Suzuki,SJ50QT,2005,Moped,2011-11-20,Wellington
725AE,Black,Trailer,HOMEBUILT,1980,Trailer,2011-10-14,Waikato
72UDQ,Green,Kawasaki,KL,1999,Roadbike,2011-11-16,Auckland City
72ZRN,Red,Moped,KYMCO PRONTO,2008,Moped,2011-08-06,Canterbury
73PYK,Red,Homebuilt,MISC,1986,Trailer - Heavy,2011-08-25,Northland
73ZBK,Blue,Moped,VONROAD,2006,Moped,2011-08-27,Auckland City
7448Z,Blue,Homebuilt,TRAILER,1990,Trailer,2011-10-25,Waikato
74WAL,Green,Triumph,BONNEVILLE,1975,Roadbike,2011-06-22,Eastern
74ZSS,Blue,Suzuki,UZ50K8,2009,Moped,2011-12-04,Central
7569N,Black,Trailer,LOCAL,1989,Trailer,2011-10-14,Waikato
75YND,Black,Honda,DIO,1992,Moped,2011-09-09,Eastern
75ZWJ,Silver,Moped,EURO RIDER,2009,Moped,2011-08-15,Auckland City
7699K,White,Anglo,15',1975,Caravan,2011-10-04,Bay of Plenty
76BKJ,Grey,Trailer,HOMEMADE,1974,Trailer,2011-11-01,Canterbury
76WMQ,Red,KTM,LC4,2002,Roadbike,2011-08-13,Auckland City
76YDQ,Silver,Hyosung,GV,2005,Roadbike,2011-06-22,Auckland City
76YUW,Black,Suzuki,DL1000,2007,Roadbike,2011-11-28,Wellington
